transaction_id,transaction_date,description,merchant_id,category_id,payment_method_id,account_id,transaction_type,amount,is_recurring,notes
1001,2025-01-10,Monthly salary,201,101,402,501,Income,6200.0,TRUE,Base monthly salary
1002,2025-01-01,Monthly rent,213,301,402,501,Expense,2200.0,TRUE,Fixed housing cost
1003,2025-01-05,Utilities payment,214,302,405,501,Expense,458.7,TRUE,Electricity and utilities
1004,2025-01-06,Internet bill,215,302,405,501,Expense,89.99,TRUE,Monthly internet payment
1005,2025-01-07,Netflix subscription,206,309,405,501,Expense,49.0,TRUE,Streaming subscription
1006,2025-01-08,Spotify subscription,207,309,405,501,Expense,23.99,TRUE,Music subscription
1007,2025-01-12,Emergency fund transfer,222,315,402,502,Expense,800.0,TRUE,Monthly savings transfer
1008,2025-01-08,Grocery shopping,204,303,401,501,Expense,105.12,FALSE,Variable grocery expense
1009,2025-01-22,Grocery shopping,203,303,401,501,Expense,186.29,FALSE,Variable grocery expense
1010,2025-01-01,Grocery shopping,203,303,401,501,Expense,119.35,FALSE,Variable grocery expense
1011,2025-01-18,Grocery shopping,203,303,401,501,Expense,208.88,FALSE,Variable grocery expense
1012,2025-01-08,Grocery shopping,204,303,404,501,Expense,186.07,FALSE,Variable grocery expense
1013,2025-01-25,Convenience store purchase,205,303,401,501,Expense,53.4,FALSE,Small daily purchase
1014,2025-01-11,Convenience store purchase,205,303,404,501,Expense,23.55,FALSE,Small daily purchase
1015,2025-01-04,Restaurant visit,219,304,401,501,Expense,96.29,FALSE,Eating out
1016,2025-01-12,Restaurant visit,219,304,404,501,Expense,126.5,FALSE,Eating out
1017,2025-01-26,Restaurant visit,219,304,401,501,Expense,143.51,FALSE,Eating out
1018,2025-01-18,Restaurant visit,219,304,401,501,Expense,176.37,FALSE,Eating out
1019,2025-01-03,Public transport ticket,211,305,404,501,Expense,77.74,FALSE,Transport expense
1020,2025-01-23,Public transport ticket,210,305,401,501,Expense,86.13,FALSE,Transport expense
1021,2025-01-25,Public transport ticket,211,305,401,501,Expense,105.53,FALSE,Transport expense
1022,2025-01-28,Fuel purchase,212,306,401,501,Expense,197.17,FALSE,Fuel expense
1023,2025-01-09,Pharmacy purchase,216,307,401,501,Expense,94.41,FALSE,Health-related expense
1024,2025-01-06,Cinema or event ticket,218,308,404,501,Expense,72.3,FALSE,Entertainment expense
1025,2025-01-22,Cinema or event ticket,218,308,404,501,Expense,108.69,FALSE,Entertainment expense
1026,2025-01-22,Online course purchase,220,313,401,501,Expense,214.01,FALSE,Learning and development
1027,2025-02-10,Monthly salary,201,101,402,501,Income,6200.0,TRUE,Base monthly salary
1028,2025-02-20,Freelance project income,202,102,402,501,Income,805.37,FALSE,Additional project income
1029,2025-02-01,Monthly rent,213,301,402,501,Expense,2200.0,TRUE,Fixed housing cost
1030,2025-02-05,Utilities payment,214,302,405,501,Expense,473.95,TRUE,Electricity and utilities
1031,2025-02-06,Internet bill,215,302,405,501,Expense,89.99,TRUE,Monthly internet payment
1032,2025-02-07,Netflix subscription,206,309,405,501,Expense,49.0,TRUE,Streaming subscription
1033,2025-02-08,Spotify subscription,207,309,405,501,Expense,23.99,TRUE,Music subscription
1034,2025-02-12,Emergency fund transfer,222,315,402,502,Expense,800.0,TRUE,Monthly savings transfer
1035,2025-02-13,Grocery shopping,204,303,404,501,Expense,258.11,FALSE,Variable grocery expense
1036,2025-02-22,Grocery shopping,203,303,404,501,Expense,231.71,FALSE,Variable grocery expense
1037,2025-02-08,Grocery shopping,203,303,401,501,Expense,224.91,FALSE,Variable grocery expense
1038,2025-02-09,Grocery shopping,204,303,401,501,Expense,117.98,FALSE,Variable grocery expense
1039,2025-02-07,Grocery shopping,204,303,404,501,Expense,151.21,FALSE,Variable grocery expense
1040,2025-02-05,Convenience store purchase,205,303,404,501,Expense,22.68,FALSE,Small daily purchase
1041,2025-02-24,Convenience store purchase,205,303,403,501,Expense,44.64,FALSE,Small daily purchase
1042,2025-02-24,Convenience store purchase,205,303,403,501,Expense,38.56,FALSE,Small daily purchase
1043,2025-02-19,Convenience store purchase,205,303,404,501,Expense,34.91,FALSE,Small daily purchase
1044,2025-02-05,Convenience store purchase,205,303,403,501,Expense,42.14,FALSE,Small daily purchase
1045,2025-02-28,Restaurant visit,219,304,401,501,Expense,65.63,FALSE,Eating out
1046,2025-02-06,Restaurant visit,219,304,404,501,Expense,125.52,FALSE,Eating out
